subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls
Travel and Leisure,Backpacking in Southeast Asia,,11,"mac326, ang naging ruta ko is Phuket-Surratthani-Bangkok-Nong Khai, Thailand, Vientianne,Laos - Hanoi, Dong Dang, Vietnam - Pinxiang, Nanning, Guangzhou, China - Kowloon, Hong Kong. From Hong Kong, I took a ferry to Macau to catch my flight back to Singapore. I won't do the Vientianne - Hanoi leg anymore, it took me almost 30 hours inside a cramped bus. hehehe.",23-Jan-07,SuPeR_MaN,0.31,"2,003",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,12,"This sounds interesting, Super_man. What sites did you go to to plan the trip? And how much did it cost you overall? May blog ka ba about this and your itinerary?",23-Jan-07,Nivla_Poa,0.32,"1,334",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,13,"I'd like to think that I'd be qualified to answer this question - I did a 2-week bit last year, and just finished a 10-day trip last week. Itinerary 1: Singapore-KL-Siam Reap-Bangkok-Surat Thani-Koh Phangan-Georgetown-KL-Singapore Itinerary 2: KL-Hanoi-Hue-Hoi An-Saigon-KL You can check the archives of my blog (July/August 2006) for some stories. Anyway, just some tips - KL has a better range of Air Asia trips, and if all does not go well, you can try using Singapore which is the hub for Tiger and JetStar Asia. Budget? If you're on the budget trip, 100 USD per week is manageable, without accounting for airfare and souvenirs of course. Land travel? No problem, lots of buses ply the usual tourist routes. But you have to have to have a good mindset, a lot of these are longhaul bus rides. Pag nag update ako ng blog, isasama ko yang Vietnam trip ko...",23-Jan-07,monsterboy,1.06,"6,438",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,14,"Yup, KK is separate from the mainland but you can get many connecting flights from there. It's not as cheap as a train, though. Myanmar is beautiful. The pagodas are much better than in Thailand and are untouched. It's pretty safe so long as you have Caucasian company so I suggest you just hook up with other backpackers. Be ready with money for impulse shopping as there are a lot of Ayutthaya-themed trinkets around; and they are dirt-cheap. As for getting there, I suggest you go through Thailand as Yangon is closer to Thailand than Laos.",23-Jan-07,Verbl Kint,0.98,"5,110","Verbl Kint: KK is separate from mainland asia right? tingin ko KL talaga since I'm very interested in Luang Prabang, Siem Reap, and Yangoon. The biggest obstacle probably is crossing by land from Thailand to Myanmar. You know what, I can actually skip Phuket and Phi Phi since I've been there. I might try to explore the beaches of Myanmar but the thought of being in Myanmar for at least a week scares me. Safe kaya dun lalo na outside Yangoon?",mac326,,,
Travel and Leisure,Backpacking in Southeast Asia,,15,"Eto helpful site for overland travel; http://www.seat61.com/ may mga schedule ng trains at buses minsan pati ferry times. Lahat yan, ginawa kong overland travel.",24-Jan-07,SuPeR_MaN,0.31,"2,003",,,,,http://www.seat61.com/
Travel and Leisure,Backpacking in Southeast Asia,"start at Khao San Road, BKK",16,"If you want to get the backpacker ""feel"" start of at Khao San Road in Bangkok and be part of the crazy, mad, crowdfrom all over the world. From thereon, you can book flights, buses and trains, and ferries to anywhere in SEA you can imagine. Accommodation there is dirt cheap and the range of food is unimaginably diverse. I still opt for my authentic, roadside, fresh pat thai. As far as Malaysia is concerned, I prefer that you fly into Kota Kinabalu instead. Less urbanity, more exotic, but more challenging. Especially challenging is their public transport system, especially outside KK. But Malaysian Borneo is truly beautiful.",25-Jan-07,ced0009177,0.01,49,,,,,
Travel and Leisure,Backpacking in Southeast Asia,,17,"i'm reading that site. apparently, walang overland travel going to yangoon. kahit sa tales of asia forums parang nabasa ko i need to take a plane going to yangoon kasi prohibited ang overland travel going to yangoon and mandalay kapag foreigner ka.",25-Jan-07,mac326,0.51,"3,205","Eto helpful site for overland travel; http://www.seat61.com/ may mga schedule ng trains at buses minsan pati ferry times. Lahat yan, ginawa kong overland travel.",SuPeR_MaN,,,
Travel and Leisure,Backpacking in Southeast Asia,,18,next time na siguro yung borneo. i will just totally skip malaysia. i just realized that cebu pacific flies bangkok. so derecho na ako ng bangkok instead flying air asia to KL and riding a train/bus to Thailand.,25-Jan-07,mac326,0.51,"3,205","If you want to get the backpacker ""feel"" start of at Khao San Road in Bangkok and be part of the crazy, mad, crowdfrom all over the world. From thereon, you can book flights, buses and trains, and ferries to anywhere in SEA you can imagine. Accommodation there is dirt cheap and the range of food is unimaginably diverse. I still opt for my authentic, roadside, fresh pat thai. As far as Malaysia is concerned, I prefer that you fly into Kota Kinabalu instead. Less urbanity, more exotic, but more challenging. Especially challenging is their public transport system, especially outside KK. But Malaysian Borneo is truly beautiful.",ced0009177,,,
Travel and Leisure,Backpacking in Southeast Asia,,19,"went backpacking for 10 days in southeast asia last year - KL,singapore,siem reap and bali .. it was really fun and spells a d v e n t u r e .. we slept on the train, at the airport .. take a bath at the train station .. but i would say i really enjoyed it .. if you want the same itinerary, pm me",25-Jan-07,smilehigh,0.21,847,,,,,
Travel and Leisure,Backpacking in Southeast Asia,,20,"Cool really. Magkano ang budget? For two months, I guess you need around 100k - 150k bucks. Your Malaysia leg should be the shortest and Thailand the longest. You can also pass by Nepal [west west west of Myanmar] if budget permits.",28-Jan-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,21,"I'll be travelling to 5 countries (Singapore, Thailand, Malaysia, Brunei and Cambodia) this April. and I've spent P18,330.69 or $370 USD for my plane tickets. eto *** itinerary ko. Hindi dapat talga kasama yung Siem Reap, Cambodia pero ***** ko *** naisip na isama, kaya mas okay sana na kung dati ko pa naisip kasi pedeng diretso na ko from Bangkok to Siem Reap to KL tapos to Brunei. Dati ko pa rin to napa-book kaya mas mura *** ticket ko. April - 13 - May 1 Fri	13	Clark to Singapore 17:30 21:00 Sat	14 Sun	15 Mon	16	Singapore to Bangkok 6:35 7:50 Tue	17 Wed	18 Thu	19 Fri	20	Bangkok to KL 20:20 23:25 Sat	21	KL to Brunei 15:15 17:35 Sun	22 Mon	23 Tue	24 Wed	25	Brunei to KL 18:00 20:20 Thu	26	KL to Siem Reap 10:05 11:10 Fri	27 Sat	28	Siem Reap to KL 11:40 14:45 Sun	29 Mon	30 Tue	1	KL to Manila 7:20 11:15 Plane Tickets Clark to Singapore	April 13 3,384.29 (67.92 USD) via Tiger (ok) Singapore - Bangkok	April 16 2,891.03 (89.24SGD)	via Tiger (ok) Bangkok - KL April 20 2,240.09 (1,615 THB)	via AirAsia (ok) KL - Brunei April 21 -25 3,855.99 (274.98 MYR)	via AirAsia KL - Siem Reap April 26 - 28 3,295.09 (235 MYR) via AirAsia KL - Clark May 1 2,664.20 (189.99 MYR) via AirAsia",31-Jan-07,mkadrii,0.03,131,,,,,
Travel and Leisure,Backpacking in Southeast Asia,,22,"Hey guys! There are some nice tips here. I will be backpacking as well around Southeast Asia plus China and Japan this spring (May to June). I currently have around 2 months of accumulated paid vacation days at my work and will be negotiating with my boss if I can take all of them consecutively. If not, the trip will just be around 3 weeks long. I currently don't have an itinerary yet but here is a list of the places I plan on visiting. If 3 weeks only: Tokyo Hong Kong Manila (possibly Puerto Galera as well) Singapore Bangkok Phuket If 1 month (including the ones above): Kuala Lumpur Siem Reap (Angkor ***) Kansai region (Osaka, Kyoto, Nara, Himeji) If 2 months (including the ones listed above): Beijing Shanghai Xian ??? Seoul Bali Hanoi (Ha Long Bay) Macau ??? Ho Chi Minh City ??? Penang ??? Malacca ??? Kota Kinabalu ??? Since I will be going to Japan as well, I'm thinking of purchasing the All Asia Pass from Cathay Pacific. I'm also thinking of doing some overland travel as well (such as Singapore to Bangkok or Hong Kong to Beijing). Anyway, what are the places to see around Manila? I'm thinking of hiking around Northern Luzon to the Banaue Rice Terraces. How hard is it? It's been so long since I've been to the Philippines (around 10 years) so I don't really know what to expect. By the way, please post more stories and experiences while backpacking around Southeast Asia. Also post recommended hostels and things to do around the areas you've been to. That way, I can have some idea on where to stay and what to do while I'm there. Thanks!",12-Feb-07,heymikey,0.59,"3,342",,,,,http://www.pinoyexchange.com/forums/showthread.php?t=288212
Travel and Leisure,Backpacking in Southeast Asia,[REPOST] SOUTHEAST ASIA (Peninsula) BACKPACKING [Need Help!],23,"Hey guys! Here's my another escapade. Sana hindi ko na to i-cancel. Haha! First of all, travelling time: Hmmm, May 15, 2007 is a good day. Second, sino ang mga kasama ko? Hmmm, our well-travelled school librarian, our school principal (actually gusto ko siyang makasama kasi magkaaway kami) and our MAPEH teacher with her husband. No parents. Third: itinerary. Flying with Cebu Pacific, from Cebu to Singapore. Then Singapore, one day lang siguro kami dun. Then train from Singapore to Kuala Lumpur, Malaysia. Just take pictures of Petronas then train na naman to Bangkok, Thailand. Sa Bangkok siguro kami magtatagal - 3 days. Then Bangkok to Phuket and back. We will take risk of going to Siem Reap to visit Angkor *** from Bangkok. Then ayun balik na naman from Siem Reap, Cambodia to Bangkok, Thailand to Kuala Lumpur, Malaysia to Singapore. Magtatagal kami ng 2 days sa Singapore. Sentosa, Orchard Road - then try din namin mag-ferry to Riau Islands, Indonesia then balik after a few hours of lakad-lakad. Total number of countries visited: 5 (Singapore, Malaysia, Thailand, Cambodia, Indonesia) Fourth: type of travel - budget. We will not stay in a hostel in Singapore kasi sa airport na lang daw kami matutulog, yun sabi ng librarian namin. Mura lang naman daw shower dun. Sa akin ok lang basta makabili lang ako ng maraming souvenirs and to visit once more Sentosa. Fifth: my budget. Hmmm, US$ 300-500. --- I'm asking your help! Transpo - comfortable but cheap. Places to and not to go.",12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,24,"I love that smilehigh ! A D V E N T U R E ! Kaya nga hindi na kami magbobook ng hostels sa Singapore at sa KL kasi matutulog na lang kami overnight sa train habang bumibiyahe. Pangarap kong makapunta sa Siem Reap kahit wala nang Phnom Penh ok lang! Isa sa mga privileges nating mga Pinoy ang visa-free entry sa Cambodia. Angkor ***!!! Wow, ang dami mo sigurong pera kasi naisingit mo pa ang Bali. How much is your budget pala?",12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337","went backpacking for 10 days in southeast asia last year - KL,singapore,siem reap and bali .. it was really fun and spells a d v e n t u r e .. we slept on the train, at the airport .. take a bath at the train station .. but i would say i really enjoyed it .. if you want the same itinerary, pm me",smilehigh,,,
Travel and Leisure,Backpacking in Southeast Asia,,25,"Source: www.seat61.com http://www.seat61.com/images/RailRoutes-SEAsia.jpg http://www.seat61.com/images/Malaysia-firstclasspanorama.jpg Forget planes and buses. Take the train, put your feet up, enjoy the ride..! 1st class seats on a Kuala Lumpur to Singapore train, 68 Ringgit (£12/$20) one way. Photo courtesy Willy Kaemena.",12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,http://www.seat61.com
Travel and Leisure,Backpacking in Southeast Asia,,26,"Sample of train fares from Singapore to Bangkok, in pesos. Note: Tickets bought in Singapore: A strange (you might say unfair) quirk of the system is that tickets bought in Singapore must be paid for in Singapore dollars, but at the Ringgit amount. In other words, a fare which costs 40 Ringgits in Malaysia costs 40 Singapore Dollars if you buy it in Singapore, even though there are 6 Ringgit to the UK pound and only 3 Singapore Dollars to the pound! (not based on the note above, so expect higher fare) Singapore to Kuala Lumpur, 2nd class seat, PHP 470.50 Kuala Lumpur to Butterworth (Penang), 2nd class seat, PHP 415.10 Butterworth (Penang) to Bangkok, 2nd class sleeper, PHP 1,174.60 (not included: ferry from Butterworth to Penang) TOTAL: PHP 2,060.20 http://www.seat61.com/images/Malaysia-2ndclass.jpg 2nd class seat http://www.seat61.com/images/Malaysia-2ndclass-sleeper.jpg http://www.seat61.com/images/Malaysia-2nd-sleeper2.jpg 2nd class sleeper",12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,27,CAMBODIAN TRAINS http://www.seat61.com/images/Cambodia-coach.jpg The weekly train to Battambang at Phnom Penh station. Photo courtesy of John Clearwater. http://www.seat61.com/images/Cambodia-seats.jpg Inside the seats cars. Photo courtesy of John Clearwater. --- http://www.seat61.com/images/Cambodia-train.jpg The now weekly train from Battambang to Phnom Penh. Photo courtesy of Yme Kvistedal http://www.seat61.com/images/Cambodia-sleeper.jpg The boxcars become air-conditioned sleepers! Photo courtesy of Yme Kvistedal,12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,28,"Bangkok ► Siem Reap : Take a train from Bangkok (Hualamphong station) to Aranyaprathet, which is a few kilometres from the Cambodian frontier. Two reliable trains run daily. To reach Siem Reap or Battambang the same day, take the 05:55 from Bangkok arriving in Aranyaprathet at 11:35. There's also a 13:05 train from Bangkok which arrives in Aranyaprathet at 17:35, but this is too late to move on from the frontier and you will have to spend the night at Poiphet. These trains are 3rd class only (pictured, right), but they are clean, spacious and it's a pleasant and enjoyable ride, clickety clacking along with a breeze blowing through the open window. The fare is only 48 baht (70p/$1). 48 baht = PHP 68.85 At Aranyaprathet, take a tuk-tuk (about 40-60 baht) or wait for the bus (about 10 baht), from the station to the Cambodian border at Poiphet (15km). The border is open 07:00-20:00. Be careful with your valuables when crossing the border, as there may be pickpockets around. 60 baht = PHP 85.95 Take a share taxi from Poiphet to Siem Reap. The journey usually takes under 3 hours, and it costs about $25/1000 baht for the whole car or $8/300 baht for the front seat. 1000 baht = PHP 1,432.20 Siem Reap ► Bangkok : Take a share taxi from Siem Reap to the Thai frontier at Poiphet. The journey usually takes under 3 hours, and it costs about $25/1000 baht for the whole car or $8/300 baht for the front seat. After passing through customs into Thailand, take a bus (10 Baht) or tuk-tuk (40-60 baht) the few km from Poiphet to the railway station at Aranyaprathet. Two reliable trains a day run from Aranyaprathet to Bangkok. You should be able to make the 13:55 departure from Aranyaprathet, arriving Bangkok at 19:55. If not, the other train leaves Aranyaprathet at 06:40, arriving Bangkok at 12:05. Both trains are 3rd class only, but they are clean and it's a very pleasant ride. --- One way Bangkok to Siem Reap PHP 1,587.00",12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,29,"Hi! Suggestion lang... from KL, don't go straight to BKK if you plan to go to Phuket. Medyo inefficient yon. You can stop somewhere south thailand (krabi siguro). from krabi, ride a boat to phiphi. bahala ka na kung ilang days ka sa phiphi. then ride another boat to phuket.",12-Feb-07,mac326,0.51,"3,205","Hey guys! Here's my another escapade. Sana hindi ko na to i-cancel. Haha! First of all, travelling time: Hmmm, May 15, 2007 is a good day. Second, sino ang mga kasama ko? Hmmm, our well-travelled school librarian, our school principal (actually gusto ko siyang makasama kasi magkaaway kami) and our MAPEH teacher with her husband. No parents. Third: itinerary. Flying with Cebu Pacific, from Cebu to Singapore. Then Singapore, one day lang siguro kami dun. Then train from Singapore to Kuala Lumpur, Malaysia. Just take pictures of Petronas then train na naman to Bangkok, Thailand. Sa Bangkok siguro kami magtatagal - 3 days. Then Bangkok to Phuket and back. We will take risk of going to Siem Reap to visit Angkor *** from Bangkok. Then ayun balik na naman from Siem Reap, Cambodia to Bangkok, Thailand to Kuala Lumpur, Malaysia to Singapore. Magtatagal kami ng 2 days sa Singapore. Sentosa, Orchard Road - then try din namin mag-ferry to Riau Islands, Indonesia then balik after a few hours of lakad-lakad. Total number of countries visited: 5 (Singapore, Malaysia, Thailand, Cambodia, Indonesia) Fourth: type of travel - budget. We will not stay in a hostel in Singapore kasi sa airport na lang daw kami matutulog, yun sabi ng librarian namin. Mura lang naman daw shower dun. Sa akin ok lang basta makabili lang ako ng maraming souvenirs and to visit once more Sentosa. Fifth: my budget. Hmmm, US$ 300-500. --- I'm asking your help! Transpo - comfortable but cheap. Places to and not to go.",-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,30,i'm going to singapore for 3D/2N on May. How long will it take me to go to Bangkok then go back to singapore by train? 1 day?,12-Feb-07,skkitzz2000,0,4,"Sample of train fares from Singapore to Bangkok, in pesos. Note: Tickets bought in Singapore: A strange (you might say unfair) quirk of the system is that tickets bought in Singapore must be paid for in Singapore dollars, but at the Ringgit amount. In other words, a fare which costs 40 Ringgits in Malaysia costs 40 Singapore Dollars if you buy it in Singapore, even though there are 6 Ringgit to the UK pound and only 3 Singapore Dollars to the pound! (not based on the note above, so expect higher fare) Singapore to Kuala Lumpur, 2nd class seat, PHP 470.50 Kuala Lumpur to Butterworth (Penang), 2nd class seat, PHP 415.10 Butterworth (Penang) to Bangkok, 2nd class sleeper, PHP 1,174.60 (not included: ferry from Butterworth to Penang) TOTAL: PHP 2,060.20 http://www.seat61.com/images/Malaysia-2ndclass.jpg 2nd class seat http://www.seat61.com/images/Malaysia-2ndclass-sleeper.jpg http://www.seat61.com/images/Malaysia-2nd-sleeper2.jpg 2nd class sleeper",-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,31,This will answer your question: HERE,12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",i'm going to singapore for 3D/2N on May. How long will it take me to go to Bangkok then go back to singapore by train? 1 day?,skkitzz2000,,,
Travel and Leisure,Backpacking in Southeast Asia,,32,"Ok, thanks for the suggestion. May URL ka ba ng fare info's sa Krabi-Phi Phi-Phuket trip?",12-Feb-07,-=+cZaRiNa+=-,4.24,"18,337","Hi! Suggestion lang... from KL, don't go straight to BKK if you plan to go to Phuket. Medyo inefficient yon. You can stop somewhere south thailand (krabi siguro). from krabi, ride a boat to phiphi. bahala ka na kung ilang days ka sa phiphi. then ride another boat to phuket.",mac326,,,
Travel and Leisure,Backpacking in Southeast Asia,,33,"Those are nice looking trains. I'm quite surprised since they look similar to the trains in Europe. You'd think that since it is in Southeast Asia, that train travel might not be in the same quality as that of Europe. But in terms of comfortability, it seems pretty much the same. Anyway, does anybody know how long the train travel is from Ho Chi Minh City to Hanoi? What about HK to Beijing, Beijing to Shanghai, and Shanghai back to HK?",13-Feb-07,heymikey,0.59,"3,342","Sample of train fares from Singapore to Bangkok, in pesos. Note: Tickets bought in Singapore: A strange (you might say unfair) quirk of the system is that tickets bought in Singapore must be paid for in Singapore dollars, but at the Ringgit amount. In other words, a fare which costs 40 Ringgits in Malaysia costs 40 Singapore Dollars if you buy it in Singapore, even though there are 6 Ringgit to the UK pound and only 3 Singapore Dollars to the pound! (not based on the note above, so expect higher fare) Singapore to Kuala Lumpur, 2nd class seat, PHP 470.50 Kuala Lumpur to Butterworth (Penang), 2nd class seat, PHP 415.10 Butterworth (Penang) to Bangkok, 2nd class sleeper, PHP 1,174.60 (not included: ferry from Butterworth to Penang) TOTAL: PHP 2,060.20 http://www.seat61.com/images/Malaysia-2ndclass.jpg 2nd class seat http://www.seat61.com/images/Malaysia-2ndclass-sleeper.jpg http://www.seat61.com/images/Malaysia-2nd-sleeper2.jpg 2nd class sleeper",-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,34,thank you!,13-Feb-07,skkitzz2000,0,4,This will answer your question: HERE,-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,35,"About Hanoi-Saigon (btw, locals want the tourists to call it Saigon not Ho Chi Minh): HERE",13-Feb-07,-=+cZaRiNa+=-,4.24,"18,337","Those are nice looking trains. I'm quite surprised since they look similar to the trains in Europe. You'd think that since it is in Southeast Asia, that train travel might not be in the same quality as that of Europe. But in terms of comfortability, it seems pretty much the same. Anyway, does anybody know how long the train travel is from Ho Chi Minh City to Hanoi? What about HK to Beijing, Beijing to Shanghai, and Shanghai back to HK?",heymikey,,,
Travel and Leisure,Backpacking in Southeast Asia,,36,heymikey : May visa na kailangan ang Philippine passport holders sa People's Republic of China?,13-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,37,"I don't know, but as a Canadian passport holder, I require a visa to enter China (except HK and Macau). I don't know if it is required for you, but if it does, you can get it when you are in HK or at the border (though not recommended at the border according to the people at VirtualTourist.com when I posted that question). The cost is around $30.",13-Feb-07,heymikey,0.59,"3,342",heymikey : May visa na kailangan ang Philippine passport holders sa People's Republic of China?,-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,38,yup...you need one,13-Feb-07,blue_jay_el,0.17,"1,045",heymikey : May visa na kailangan ang Philippine passport holders sa People's Republic of China?,-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,39,for the plane fare and accom a little more than P25k.. yng pocket money ..won't mention na ***.. let's just say my atm card and credit card was my best friend .. super cheap ang shopping sa siem reap .. if you like to bu y things for the house this is the place to look for it..,13-Feb-07,smilehigh,0.21,847,"I love that smilehigh ! A D V E N T U R E ! Kaya nga hindi na kami magbobook ng hostels sa Singapore at sa KL kasi matutulog na lang kami overnight sa train habang bumibiyahe. Pangarap kong makapunta sa Siem Reap kahit wala nang Phnom Penh ok lang! Isa sa mga privileges nating mga Pinoy ang visa-free entry sa Cambodia. Angkor ***!!! Wow, ang dami mo sigurong pera kasi naisingit mo pa ang Bali. How much is your budget pala?",-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,40,"What?!?! 25K kasi budget ko - lahat lahat. Hmm, let's say bawal ang airplanes (except going to and fromSingapore) sa backpacking namin.",13-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",for the plane fare and accom a little more than P25k.. yng pocket money ..won't mention na ***.. let's just say my atm card and credit card was my best friend .. super cheap ang shopping sa siem reap .. if you like to bu y things for the house this is the place to look for it..,smilehigh,,,
Travel and Leisure,Backpacking in Southeast Asia,,41,"wala po akong url. pero marami naman kasi talagang boats dun. im sure hindi masyadong expensive yon. a two way boat ride from phuket to phiphi costs around 800-1000 baht (tour package na yan with hotel transfers, buffet lunch, snorkeling gear, island hoping). i'm very sure it's cheaper kung pamasahe lang.",13-Feb-07,mac326,0.51,"3,205","Ok, thanks for the suggestion. May URL ka ba ng fare info's sa Krabi-Phi Phi-Phuket trip?",-=+cZaRiNa+=-,,,
Travel and Leisure,Backpacking in Southeast Asia,,42,"Wow! That's a good deal anyway. 1,000 ThB = PHP 1,450.00",13-Feb-07,-=+cZaRiNa+=-,4.24,"18,337","wala po akong url. pero marami naman kasi talagang boats dun. im sure hindi masyadong expensive yon. a two way boat ride from phuket to phiphi costs around 800-1000 baht (tour package na yan with hotel transfers, buffet lunch, snorkeling gear, island hoping). i'm very sure it's cheaper kung pamasahe lang.",mac326,,,
Travel and Leisure,Backpacking in Southeast Asia,,43,Good deal ba ang Silk Air or Tiger Airways Singapore to Siem Reap (one way)? O land transpo na lang? http://www.silkair.com/mbe/images/loading.gif,22-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,44,When is the monsoon season in SE Asia? When is the best time to visit?,23-Feb-07,heymikey,0.59,"3,342",,,,,
Travel and Leisure,Backpacking in Southeast Asia,,45,"July to December, I guess. Best time? During special events and celebrations like Chinese New Year & festivals.",25-Feb-07,-=+cZaRiNa+=-,4.24,"18,337",When is the monsoon season in SE Asia? When is the best time to visit?,heymikey,,,
Travel and Leisure,Backpacking in Southeast Asia,,46,"i am currently doing my itenerary for this. plan ko is singapore-malaysia-thailand-cambodia-vietnam...not sure pa sa cambodia coz i heard bad travelleres' tales sa cambodia. sino gusto sumama? of course, hindi libre ha. the more the merrier.",26-Feb-07,sweet_ryan,0.51,"2,888",,,,,
