subforum,thread_title,post_subject,post_counter,post_content,post_time,username,user_posts_per_day,user_total_posts,quoted_post,quoted_username,img_urls,embed_urls,other_urls,,dialogue_acts,conversation_end
Parenting 101,"""Duling"" / ""Banlag""",,2,"sorry i dont have the answers to ALL your queries but whenevr your baby crosses his/her eyes, you can make him/her close his/her eyes by gently sliding your hands from your baby's forehead going down his/her face. pag napapikit sya, pagdilat nya, hindi na ulit sya duling.",24-Jan-04,aajao,1.75,"10,379",,,,,,,"Comment, Others",No
Parenting 101,"""Duling"" / ""Banlag""",,3,"Ang napansin ko when my daughter was a few months old, medyo nga minsan when she focuses on something, naduduling sya, pero it comes back naman to normal, kaya lang medyo frequent. I didn't consult a doctor (mybad!) kasi I just thought that her eye muscles may be weak and developing pa that's why she's doing that. Hindi naman sya duling and there are no problems with her eyes. Pero if you notice anything na hindi ka comfortable, always, always consult a doctor, for the good of your baby and for your peace of mind.",24-Jan-04,Fairy_nd_meadow,0.29,"1,674",,,,,,,"Comment, Others",No
Parenting 101,"""Duling"" / ""Banlag""",,4,"""Duling"" is ""cross-eyed"", meaning inward turning of the eyes. ""Banlag"" is ""wall-eyed"", meaning inward turning of the eyes. These may be due to various causes, most common being an uncorrected refractive error (nearsightedness, farsightedness or astigmatism) or a muscle problem. What we ophthalmologists are afraid of is the possibility of developing ""lazy eye"" from either the refractive error or the suppression of the vision in one eye as the child unconsciously tries to see only one image (because you might see double in these cases). These conditions need to be treated as early as possible, and the treatment may be as simple as wearing of eyeglasses. It's irreversible after a certain age (we usually set it at around 6 yrs old). Huwag kayong magpadala sa ""Kawawa naman ang baby, ang liit liit, nagsasalamin na..."" My answer is always ""mas kawawa iyan pag di nadevelop ang vision dahil di na yan maayos pag lumaki na."" Yup, that serious. On the other hand, there are also cases of pseudoesotropia (false ""duling"") which may be caused by a thick fold of skin near the nose. In any case, it's best to consult an ophthalmologist is order to determine - - if it's a true problem or not - the cause - the right treatment - the possibility and treatment of amblyopia/""lazy eye""",24-Jan-04,eyedoc,0.3,"1,741",,,,,,,"Comment, Others",No
Parenting 101,"""Duling"" / ""Banlag""",,5,"consulting a doctor is always a very good thing to do but with the medical expenses in Manila, do parents have any other options? say, a little like ""first aid""? as per Fairy_nd_meadow 's post, no problem with her having medical attention as often as she prefers since Canada offers a very good medical insurance for its citizens.",26-Jan-04,aajao,1.75,"10,379",,,,,,,"Question, Comment",No
Parenting 101,"""Duling"" / ""Banlag""",,6,"My boyfriend's 5 yr old niece was born with an eye defect. She's been ""banlag"" since birth. They thought this was normal because most babies are really ""banlag"" in the beginning. But when the problem was still present at age 3, they took her to a specialist who prescribed special glasses to be worn for something like 5 hours straight a day. It's been 2 yrs since she began wearing them and the problem is hardly noticeable now, although she continues to wear the glasses.",26-Jan-04,pattybee,0.1,563,,,,,,,"Comment, Others",No
Parenting 101,"""Duling"" / ""Banlag""",,7,"Forgive me for saying this, but for children, you really cannot take chances with their vision. Ipagpapalit mo ba ang konting professional fee sa paningin ng bata? Also, government institutions also have ophtha departments for people who can't afford private physicians. I don't have any issue with the ""appearance"". What is at stake here is visual development, which has a time limit - anywhere from 6 - 9 years...Pedia ophthas often want to correct problems even before that age - the earlier, the better chance of curing the ""amblyopia"" or ""lazy eye"". If you pass the time limit for that, wala nang balikan. Hanggand diyan nalang talaga paningin niya. I've seen kids in their early teens being brought to us for glasses, because the parents hope that the vision can still be improved. But, we really cannot do anything if the development is already complete, at hanggang diyan nalang siya. Of course, what I'm saying is for true strabismus (duling or banlag) and not for pseudostrabismus (false strabismus). But then, can you honestly say that anybody can tell the difference without knowing what to look for? A P500 consult (on the average, syempre depende kung gaano kasikat doctor mo at kung ano ang problema) will tell you what you need to know. Cheaper than a pair of Levi's jeans. Of course, if there is really a problem, babalik-balikan mo yung doctor, but again, you do want your child to have maximal visual development, don't you? And, no, there's no such thing as ""first aid"" for that. Sorry if I'm a bit harsh here, but vision is something I'm passionate about, and I can just shake my head with pity for the parents who didn't have their child checked when there was still something to be done. Sayang talaga.",26-Jan-04,eyedoc,0.3,"1,741",,,,,,,"Question, Comment, Others",No
Parenting 101,"""Duling"" / ""Banlag""",,8,"eyedoc, how early should a toddler be taken to an eye doctor for duling correction? What if the baby isn't even walking yet, just sitting up, like my friends' kid. Are all banlag/duling conditions correctible when treated in a timely manner? Salamat po doktor!",29-Jan-04,JdelaCruz,0.32,"1,829",,,,,,,Question,No
Parenting 101,"""Duling"" / ""Banlag""",,9,"There is no minimum age requirement for a baby to be seen by an eye doctor. We even look at newborns. For more difficult cases, we refer them to pediatric ophthalmologists (Yes, there is such a subspecialty! ) Most duling and banlag conditions may be corrected as long as the cause is known and treated accordingly. The small percentage of those who are difficult to treat usually have some concomittant eye problem.",29-Jan-04,eyedoc,0.3,"1,741",,,,,,,"Comment, Others",No
Parenting 101,"""Duling"" / ""Banlag""",,10,"Tama si aajao, ang mahal kasi ng fees sa Manila. Parang medical attention is not the right of everyone, only the rich and ""can afford"". Maling patakaran ito. Ang kawawa yung mga walang malay at walang boses na mga bata, na hindi makakuha ng tamang medical treatment kasi walang PERA. Pero advise ko lang, sana maging resourceful ang mga parents, lalo na kung may eye problems ang anak nyo. Wag pababayaan. Isipin nyo na lang na kinabukasan nila ang nakasalalay.",29-Jan-04,Fairy_nd_meadow,0.29,"1,674",,,,,,,"Comment, Others",No
Parenting 101,"""Duling"" / ""Banlag""",,11,"BTW, the P500 professional fee I'm talking about is for private ophthalmologists. Charity divisions of hospitals and government hospitals are much, much lower, sometimes even free. The trade off is 1. Pipila ka and 2. Of course you don't get the big name doctors. Pero at least matitingnan.",30-Jan-04,eyedoc,0.3,"1,741",,,,,,,Others,No
Parenting 101,"""Duling"" / ""Banlag""",,12,"If there is a will, there is a way. The least you can do is have your baby's eyes checked by a doctor. There will be more complicated illnesses that a child will go through as he grows up. I do not believe that only people with money are able to avail of medical services here in the Philippines. We have public hospitals.",3-Feb-04,Chase_Meridian,0.18,974,,,,,,,Comment,No
Parenting 101,"""Duling"" / ""Banlag""",Go to the eye doc for kids,13,"Try my son's eye doc, si Dra. Pauline Santiago, sa St. Luke at Mla. Doc ang offices niya. Medyo mataas pf kasi meron drops sa mata at talagang sinusuri. Pero kapag eyes kasi ibang specialty kasi di naman ma-diagnose ng regular pedia. Bale flat nose bridge lang naman anak ko kasi preemie siya nun at di nagdevelop pa facial muscles niya. Kaya baby pix niya mukhang duling. Pero ngayon hindi na. If you have doubts, go to the doctor. Meron kami kasabay dati, twitching ng eyes reklamo, e, connected pala sa brain, hindi lang pala sa mata diprensya ng bata, e, that time 3-4 years old na, tapos matagal na twitching...",9-Feb-04,mytitagirl,0.14,833,,,,,,,Others,No
Parenting 101,"""Duling"" / ""Banlag""",,14,Dra. Santiago is a good choice. She subspecializes in pediatric ophthalmology and adult strabismus.,12-Feb-04,eyedoc,0.3,"1,741",,,,,,,Comment,No
Parenting 101,"""Duling"" / ""Banlag""",,15,"good pm doc. ask ko lang po yung daughter kasi who is 9 years old is ""banlag"" accdng to her pedia-optha. tapos wala naman daw pong grado mata niya. ask ko lang po meron po bang eyeglasses that will help correct my daughter's eyes? yung pamagkin ko po kasi dati banlag siya then nag-salamin since may grado rin mata niya at ngayon po di na siya banlag. sobrang worried po ako sa anak ko. ang mahal nmn po ng surgery..thx a lot.",25-Feb-10,axcel_v,0,16,,,,,,,Question,No
Parenting 101,"""Duling"" / ""Banlag""",hello..,16,Ask ko lang po kung sa 10months old na baby ay normal lang ba na mejo duling at yung right side lang na mata? 2days na po kasi siyang ganito.though nawawa pero maya maya ang balik.,10-Jun-17,Mavis Ophelia,0.01,1,,,,,,,Question,No
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
